Hospital,Barangay
0,891
0,895
0,896
1,1223
1,1230
2,1469
3,1551
3,1580
4,1490
4,1544
4,1545
4,1549
5,188
5,1202
5,1203
6,579
6,583
6,711
6,712
6,714
6,1557
6,1579
7,77
7,1551
7,1580
8,1502
8,1568
9,1569
10,1450
10,1464
11,1441
11,1447
11,1449
11,1460
11,1462
12,689
12,691
12,692
12,693
12,694
12,698
12,699
12,700
12,701
12,703
12,704
12,705
12,706
12,707
12,709
12,710
12,718
12,728
12,729
12,730
12,732
12,733
13,1236
14,1223
14,1230
14,1232
15,261
15,273
15,276
15,277
16,269
16,835
16,839
16,840
17,8
17,9
17,10
17,11
17,13
17,14
17,15
17,138
17,142
17,146
17,147
18,381
18,388
18,390
18,391
18,392
18,398
18,399
18,400
18,404
18,581
19,1673
20,230
21,73
21,1660
21,1670
22,1490
22,1503
22,1515
22,1540
22,1544
22,1573
23,901
23,908
23,911
23,913
23,917
23,919
24,1643
24,1654
24,1656
25,1480
25,1491
25,1574
25,1593
26,229
27,96
28,1491
28,1574
29,1563
30,1445
30,1450
31,1444
31,1451
32,1480
32,1491
32,1574
32,1593
33,190
33,194
33,201
33,206
34,1184
34,1439
35,1449
35,1454
35,1462
36,314
36,316
36,327
36,336
36,1217
37,1456
38,1188
38,1192
39,1494
39,1505
39,1524
40,1621
40,1633
40,1635
40,1637
41,404
41,406
41,407
41,408
41,409
41,410
41,418
41,572
41,589
41,590
42,76
42,80
42,84
43,1621
43,1623
43,1633
43,1637
44,1658
45,1199
46,1667
46,1676
47,605
47,606
47,607
47,608
47,610
47,611
47,612
47,613
47,614
47,615
47,617
47,626
47,627
47,673
48,1199
49,275
49,278
49,280
49,1150
49,1153
49,1154
50,518
50,525
50,526
50,540
50,541
50,542
50,544
50,545
50,546
50,547
50,548
50,555
50,557
51,287
51,1625
52,1676
53,96
54,1582
55,1370
55,1371
55,1381
55,1383
55,1387
55,1390
56,79
56,81
56,82
57,1331
57,1352
58,205
59,1529
59,1576
60,1444
60,1451
61,1207
62,1550
62,1568
63,265
63,273
64,518
64,525
64,526
64,527
64,537
64,539
64,540
64,541
64,542
64,544
64,545
64,546
64,1184
65,911
65,918
65,919
65,939
65,941
65,942
66,1450
67,1197
68,96
69,628
69,635
69,645
69,649
69,650
69,651
69,652
69,654
69,657
69,658
69,659
69,660
69,662
69,767
69,769
70,229
71,1522
72,1643
72,1654
73,1204
73,1205
73,1207
74,213
74,224
74,1470
75,203
75,204
75,206
76,461
76,513
76,516
76,517
76,522
76,523
76,524
76,527
76,528
76,529
76,530
76,531
76,533
76,535
76,536
76,537
76,538
77,1669
77,1677
78,1534
78,1559
79,1188
79,1192
80,1486
80,1601
81,76
81,77
82,203
82,204
82,206
83,1187
84,1195
84,1445
85,1548
86,1450
86,1464
87,1523
87,1551
87,1553
88,1597
88,1605
89,1470
89,1473
89,1475
89,1476
90,198
90,207
91,1674
92,1199
93,223
93,231
94,755
94,761
94,762
94,1483
94,1513
94,1514
95,1491
96,616
96,641
96,643
96,644
96,645
96,647
96,655
96,656
96,661
96,662
96,663
96,666
96,668
96,670
96,671
96,672
96,676
96,677
97,194
97,202
97,208
98,1199
99,226
99,233
100,275
100,278
100,1150
100,1153
101,1509
101,1512
101,1607
102,1189
102,1496
102,1518
102,1519
102,1544
103,1502
103,1568
103,1608
104,1231
105,1502
105,1568
106,1197
107,1648
107,1655
108,1509
108,1512
108,1528
109,1550
109,1568
110,288
110,300
110,308
110,318
110,329
110,340
110,351
110,362
110,373
110,384
110,396
110,448
110,459
110,470
110,471
110,472
110,474
110,475
110,476
110,477
110,510
110,521
110,1184
111,901
111,906
111,917
111,919
112,1527
112,1563
113,1551
113,1580
114,1412
114,1413
114,1414
115,1524
115,1548
116,1195
117,1522
117,1563
118,263
118,282
119,1645
119,1648
119,1653
120,1602
120,1619
121,1674
122,689
122,691
122,692
122,693
122,694
122,695
122,696
122,698
122,699
122,703
122,705
122,706
122,707
122,709
122,728
122,730
122,1184
123,110
123,112
123,114
123,118
123,119
123,120
123,125
123,126
123,127
123,383
123,385
123,387
124,39
124,40
124,170
124,171
124,172
124,173
124,174
125,629
125,636
125,637
125,861
125,863
125,864
125,867
125,868
125,869
125,870
125,871
125,872
125,1095
126,1196
126,1197
127,1450
128,671
128,676
128,677
128,695
128,696
128,1184
129,395
129,498
129,609
129,664
129,686
129,719
129,786
129,797
129,831
129,854
129,865
129,876
129,945
129,957
129,1056
129,1167
130,1224
130,1235
131,1226
131,1231
132,1444
132,1451
133,1582
134,1451
135,1509
135,1542
136,230
137,1186
137,1466
138,136
138,140
138,141
138,143
138,145
138,148
139,1607
140,1191
140,1197
141,1242
141,1243
141,1244
141,1245
141,1246
141,1247
141,1248
141,1249
141,1251
141,1394
141,1396
141,1399
141,1400
141,1402
141,1430
141,1432
141,1433
141,1434
141,1435
142,1227
142,1641
143,1550
143,1568
144,1440
145,198
145,199
146,478
146,479
146,482
146,484
146,485
146,486
147,1539
147,1568
147,1599
147,1608
148,511
148,512
148,520
148,604
148,678
148,679
148,680
148,681
148,682
148,683
148,684
148,685
148,1184
149,1231
150,1231
151,249
151,256
151,1216
151,1219
152,250
152,256
152,257
153,190
153,194
153,201
153,206
154,1628
154,1629
154,1631
154,1638
155,202
156,1513
156,1536
156,1547
157,1491
157,1574
158,1547
